film,user,star,time,content
未来水世界,受伤鸽子往南飞,还行,2012-04-26,虽然当年凯文科斯特纳败走麦城，现在看也觉得是狗屎，但在少年的眼里~是如此的牛逼啊~
未来水世界,永恒如风,还行,2011-08-31,如果十五年前我能看到这样的电影我一定会很喜欢，纵然科斯特纳的表演和身手如何到位，但是依然没办法撑起羸弱的剧情和细节设置。
未来水世界,cozylee有好运,力荐,2011-07-17,"小时候过年大家一起租VCD看的，吓得好多晚上都睡不着觉  老觉得世界会变成没有陆地的地方。"
未来水世界,[已注销],还行,2013-01-21,能長個鰓就好了=v=
未来水世界,liuyunjun,还行,2011-09-17,居然是个不缺电的世界···
未来水世界,DF,还行,2008-12-28,当年的大片儿 同时也是烂片。还行吧  也算是影史上留下痕迹了
未来水世界,Harry Awesome,较差,2012-04-01,一百样东西都泡在水里看了就不爽～
未来水世界,比烟花寂寞,推荐,2018-12-18,投资2亿美金的电影，平均1分钟烧100万美金，，，1995年啊！少年时看过VCD，大学也看过，就是觉得没意思，现在再看就是影史投资最大的艺术片，这种电影在票房上一般没什么好下场，但若干年年以后，你会自豪你去过电影院，例如《银翼杀手2048》。片子是海上版的《疯狂麦克斯》，你能看到《保镖》的影子，《完美的世界》的感觉，很多人看到画面脏了，却忽略了这种脏的写实，不管他是布景还是CG，细节做的真好，有人说故事剧情是硬伤，那你应该多去看看参加戛纳主竞赛单元的电影，最后回到大海让我想到了某位钢琴师。讨论自然报应人类的太浅显。影片有很多隐喻和影射，例如，男主说陆地在水里，旁边人说你这是亵渎神明，，，，
未来水世界,黑黑,推荐,2010-10-28,教小孩游泳那一幕很美，毕竟是开山鼻祖，结局挺圆满的
未来水世界,碎平,推荐,2010-08-01,气魄，这种场景也只有凯文能驾驭了
