film,user,star,time,content
给爸爸的信,诸镇凝,推荐,2011-12-15,那时候感觉柯受良同学太仗义了
给爸爸的信,大浦洞二号,还行,2013-12-11,录像带看的，看了好几遍。
给爸爸的信,电影老村长,推荐,2010-06-18,感情真挚朴实。动作一般。
给爸爸的信,Forgot Limited,推荐,2011-03-02,异常正确的选角
罗密欧与朱丽叶,fallen,推荐,2012-12-16,莎士比亚的台词配合现代化的背景觉得还蛮奇怪的啦，四颗星都给小李子和blue ray~~
罗密欧与朱丽叶,公子踏月而来,还行,2008-11-23,老师带着同学一起看，人太多不好意思流泪，大家一致认为朱丽叶不好看，不配Leonardo
罗密欧与朱丽叶,Katrina,还行,2012-05-26,这个或许是当代最适合饰演罗密欧的男人在罗密欧的年纪演了一出套了差不多的名字引用了不少台词但味儿很怪的罗密欧与朱丽叶（古英语配上电台司令的感觉真的好别扭...）
罗密欧与朱丽叶,Reiko,还行,2011-12-23,有点受不了莎士比亚式文绉绉的台词。多希望结局也能后现代改编下，我讨厌悲剧。
罗密欧与朱丽叶,薄荷绿,力荐,2011-08-09,经典的剧本，后现代的手法，夸张的人物造型，神经质的古代现代对白交错。。。一切让人感觉亦真亦幻。。。传统的就让他在剧院舞台放光彩把，电影，也许这种手法更吸引人
罗密欧与朱丽叶,大潦,较差,2013-07-23,不是所有的电影都可以这么搞，在枪上写上剑的名字是闹哪样啊。要不是小李在前20分钟出现，我早就删片关电脑走人了。
罗密欧与朱丽叶,杯麵,较差,2010-12-28,不要侮辱Romeo与Juliet~
罗密欧与朱丽叶,源,力荐,2012-03-18,小时候听不懂这古怪的掺着古英语的对白，于是主要在对着小李的颜膜拜
罗密欧与朱丽叶,发条.西.,推荐,2011-08-28,死了也好，不然浓情总有淡漠的时候。
罗密欧与朱丽叶,咸鱼,推荐,2011-04-26,其实我脚着这个还不错哈~小李子还是那个让姑娘合不拢腿的小李子~
罗密欧与朱丽叶,LF,推荐,2014-04-27,最初是奔着radiohead的片尾曲来看这片，看后发现这种手里拿着枪嘴里念着文言文诗的电影风格很特别。美国马景涛年轻时帅起来有种特殊的奶味，这使得所有少女在他面前都会自动脱下裤子。
罗密欧与朱丽叶,辜卓卓,推荐,2010-11-27,"为什么，爱情总是嘈吵？ 又爱又恨、无中生有。 又重又轻、虚荣之外一片凌乱。 曲线却特别玲珑。   ——罗密欧                                                配乐要这么赞吗？！！！！！！！！！！"
罗密欧与朱丽叶,西帕克,推荐,2016-05-14,巴兹鲁赫曼的镜头还是很大胆又标新立异的，就是现在看朱丽叶分分钟要穿越到国土安全。
罗密欧与朱丽叶,想来,力荐,2012-04-18,under love's heavy burden do i sink
罗密欧与朱丽叶,Mia,推荐,2012-01-17,不经世面的深情即是悲剧，可纯粹到又多一人期待，来一场莎士比亚式的热恋。
罗密欧与朱丽叶,Joey的第34任女友,推荐,2010-09-27,我还记得那个玻璃鱼缸的场景 浪的一漫啊
罗密欧与朱丽叶,注销了吧,推荐,2017-01-26,小李子的颜值巅峰。而且Radiohead的配乐加了不少分。
罗密欧与朱丽叶,Fiona.,推荐,2011-10-20,最美好的年纪，谈最古老的爱情。那个时候的莱奥纳多太太帅了。那个时候还没有嗯哼的口头音诶。真希望这样的千古悲剧只发生这样的一次。
